Member_number,Recency,Frequency,Monetary,Cluster
KH3056,137,4,33.4,Big Spenders
KH3057,532,5,35.1,One-time Shoppers
KH3058,156,8,72.4,Big Spenders
KH3059,382,9,86.54,Churned Customers
KH3060,178,7,45.4,Big Spenders
KH3061,25,8,42.35,Potential Loyalists
KH3062,151,11,98.82,Big Spenders
KH3063,2,10,78.2,Potential Loyalists
KH3064,362,4,16.4,Churned Customers
KH3065,367,7,46.95,Churned Customers
KH3066,24,12,72.0,Potential Loyalists
KH3067,33,10,118.08,Potential Loyalists
KH3068,194,7,54.1,Big Spenders
KH3069,265,6,30.8,Big Spenders
KH3071,200,15,143.85,Big Spenders
KH3072,205,17,144.65,Big Spenders
KH3073,347,5,30.0,Churned Customers
KH3074,261,5,40.14,Big Spenders
KH3075,76,6,40.2,Potential Loyalists
KH3076,22,4,45.7,Potential Loyalists
KH3077,121,17,148.01,Loyal Customers
KH3078,120,5,27.3,Potential Loyalists
KH3079,295,9,85.1,Churned Customers
KH3080,683,2,7.85,One-time Shoppers
KH3081,463,15,128.03,Churned Customers
KH3082,96,26,156.15,Loyal Customers
KH3083,467,10,92.95,One-time Shoppers
KH3084,65,14,84.5,Potential Loyalists
KH3085,172,4,36.2,Big Spenders
KH3086,270,12,61.74,Big Spenders
KH3087,368,6,18.4,Churned Customers
KH3088,27,8,62.8,Potential Loyalists
KH3089,74,11,94.5,Potential Loyalists
KH3090,56,22,145.22,Loyal Customers
KH3092,6,6,39.0,Potential Loyalists
KH3093,292,2,7.32,Churned Customers
KH3094,85,17,105.45,Potential Loyalists
KH3095,78,16,114.0,Potential Loyalists
KH3096,130,7,48.3,Big Spenders
KH3097,142,2,12.4,Big Spenders
KH3098,117,4,11.4,Potential Loyalists
KH3099,165,12,97.6,Big Spenders
KH3100,221,12,95.1,Big Spenders
KH3101,13,14,144.1,Loyal Customers
KH3102,26,8,139.22,Loyal Customers
KH3103,385,4,13.8,Churned Customers
KH3104,209,18,92.15,Big Spenders
KH3105,627,2,14.2,One-time Shoppers
KH3106,598,8,75.54,One-time Shoppers
KH3107,44,14,101.7,Potential Loyalists
KH3108,645,4,13.85,One-time Shoppers
KH3109,184,9,92.4,Big Spenders
KH3110,525,6,58.4,One-time Shoppers
KH3111,7,16,113.7,Potential Loyalists
KH3112,225,8,48.2,Big Spenders
KH3113,195,12,114.1,Big Spenders
KH3115,427,16,185.54,Churned Customers
KH3116,385,14,141.4,Churned Customers
KH3117,91,12,95.5,Potential Loyalists
KH3118,1,7,41.0,Potential Loyalists
KH3119,185,17,196.8,Big Spenders
KH3120,7,24,243.5,Loyal Customers
KH3122,60,24,117.42,Potential Loyalists
KH3123,380,9,65.1,Churned Customers
KH3124,265,3,5.7,Big Spenders
KH3125,451,4,45.8,Churned Customers
KH3126,393,2,8.5,Churned Customers
KH3127,392,10,74.8,Churned Customers
KH3128,122,17,129.8,Loyal Customers
KH3129,522,6,69.65,One-time Shoppers
KH3130,242,6,17.5,Big Spenders
KH3131,392,4,33.2,Churned Customers
KH3132,123,10,75.4,Potential Loyalists
KH3133,5,8,107.8,Potential Loyalists
KH3134,206,2,9.4,Big Spenders
KH3135,157,6,34.22,Big Spenders
KH3136,611,2,7.9,One-time Shoppers
KH3137,128,19,123.5,Big Spenders
KH3138,255,13,89.9,Big Spenders
KH3139,253,16,113.66,Big Spenders
KH3140,125,12,100.13,Big Spenders
KH3141,44,17,117.4,Potential Loyalists
KH3142,485,11,42.8,One-time Shoppers
KH3143,220,6,37.9,Big Spenders
KH3144,136,13,132.52,Big Spenders
KH3145,44,8,61.4,Potential Loyalists
KH3146,551,4,21.8,One-time Shoppers
KH3147,6,5,30.75,Potential Loyalists
KH3148,277,11,153.16,Big Spenders
KH3149,704,3,79.5,One-time Shoppers
KH3150,506,6,38.59,One-time Shoppers
KH3151,96,6,45.45,Potential Loyalists
KH3152,36,4,31.5,Potential Loyalists
KH3153,83,16,96.2,Potential Loyalists
KH3154,191,11,84.12,Big Spenders
KH3155,464,2,20.0,One-time Shoppers
KH3156,150,6,51.0,Big Spenders
KH3157,448,7,59.52,Churned Customers
KH3158,452,9,80.4,Churned Customers
KH3159,333,7,45.44,Churned Customers
KH3160,238,10,118.26,Big Spenders
KH3161,52,9,83.7,Potential Loyalists
KH3162,207,2,2.6,Big Spenders
KH3163,366,4,12.1,Churned Customers
KH3164,91,21,203.76,Loyal Customers
KH3165,33,18,177.1,Loyal Customers
KH3166,246,14,131.8,Big Spenders
KH3167,56,7,85.7,Potential Loyalists
KH3168,14,12,67.0,Potential Loyalists
KH3169,181,6,43.2,Big Spenders
KH3170,27,12,137.4,Loyal Customers
KH3171,439,3,81.8,Churned Customers
KH3172,304,7,31.0,Churned Customers
KH3173,158,2,14.6,Big Spenders
KH3174,324,4,11.8,Churned Customers
KH3175,37,14,146.2,Loyal Customers
KH3176,151,13,100.1,Big Spenders
KH3177,438,4,28.6,Churned Customers
KH3178,22,12,47.1,Potential Loyalists
KH3179,284,2,10.5,Churned Customers
KH3180,72,36,251.45,Loyal Customers
KH3181,17,14,131.7,Loyal Customers
KH3182,76,14,162.9,Loyal Customers
KH3183,145,7,66.1,Big Spenders
KH3184,40,14,85.2,Potential Loyalists
KH3185,303,11,89.9,Churned Customers
KH3186,35,10,132.8,Loyal Customers
KH3188,24,6,30.59,Potential Loyalists
KH3189,37,17,117.04,Potential Loyalists
KH3190,39,12,107.46,Potential Loyalists
KH3191,0,5,44.09,Potential Loyalists
KH3193,333,13,90.6,Churned Customers
KH3194,241,14,145.8,Big Spenders
KH3195,175,6,46.7,Big Spenders
KH3196,56,5,30.44,Potential Loyalists
KH3197,669,3,19.8,One-time Shoppers
KH3198,190,5,51.0,Big Spenders
KH3199,6,2,33.9,Potential Loyalists
KH3200,273,8,116.9,Big Spenders
KH3201,33,17,212.4,Loyal Customers
KH3202,46,7,56.4,Potential Loyalists
KH3203,145,12,111.2,Big Spenders
KH3204,236,11,113.62,Big Spenders
KH3205,19,13,92.6,Potential Loyalists
KH3206,78,12,115.91,Potential Loyalists
KH3207,34,15,147.2,Loyal Customers
KH3208,40,14,73.0,Potential Loyalists
KH3209,2,11,49.4,Potential Loyalists
KH3210,7,8,75.9,Potential Loyalists
KH3211,91,4,33.0,Potential Loyalists
KH3212,256,4,45.9,Big Spenders
KH3213,376,7,70.79,Churned Customers
KH3214,8,15,104.8,Potential Loyalists
KH3215,162,10,96.64,Big Spenders
KH3216,321,4,12.0,Churned Customers
KH3217,285,6,43.6,Churned Customers
KH3218,567,5,36.1,One-time Shoppers
KH3219,148,7,60.54,Big Spenders
KH3220,53,12,60.7,Potential Loyalists
KH3221,184,23,227.2,Loyal Customers
KH3222,147,10,68.22,Big Spenders
KH3223,511,3,75.6,One-time Shoppers
KH3224,291,10,112.76,Churned Customers
KH3225,18,18,211.7,Loyal Customers
KH3226,431,8,104.2,Churned Customers
KH3227,30,15,78.66,Potential Loyalists
KH3228,338,8,97.8,Churned Customers
KH3229,145,12,100.8,Big Spenders
KH3230,350,2,19.6,Churned Customers
KH3231,274,5,26.0,Churned Customers
KH3232,12,16,128.45,Loyal Customers
KH3233,430,2,39.5,Churned Customers
KH3234,136,2,17.1,Big Spenders
KH3235,2,7,50.6,Potential Loyalists
KH3236,179,10,79.2,Big Spenders
KH3237,185,13,76.5,Big Spenders
KH3238,545,8,24.0,One-time Shoppers
KH3239,33,2,5.9,Potential Loyalists
KH3240,363,4,11.4,Churned Customers
KH3241,101,9,77.6,Potential Loyalists
KH3242,221,8,33.1,Big Spenders
KH3243,727,2,8.9,One-time Shoppers
KH3244,40,6,27.9,Potential Loyalists
KH3245,22,18,271.8,Loyal Customers
KH3246,125,22,221.4,Loyal Customers
KH3247,59,24,165.9,Loyal Customers
KH3248,194,21,205.44,Big Spenders
KH3249,373,4,52.35,Churned Customers
KH3250,262,5,42.1,Big Spenders
KH3251,4,21,248.12,Loyal Customers
KH3252,130,12,60.0,Big Spenders
KH3253,193,4,51.9,Big Spenders
KH3254,72,10,73.92,Potential Loyalists
KH3255,55,17,71.1,Potential Loyalists
KH3256,153,9,65.3,Big Spenders
KH3257,320,11,57.25,Churned Customers
KH3258,224,13,130.34,Big Spenders
KH3259,119,9,49.92,Potential Loyalists
KH3260,28,8,80.2,Potential Loyalists
KH3262,22,16,96.4,Potential Loyalists
KH3263,531,7,47.3,One-time Shoppers
KH3264,269,10,49.35,Big Spenders
KH3265,21,7,55.5,Potential Loyalists
KH3266,66,22,143.55,Loyal Customers
KH3267,346,9,50.2,Churned Customers
KH3268,54,16,132.27,Loyal Customers
KH3269,84,5,26.1,Potential Loyalists
KH3270,229,2,6.9,Big Spenders
KH3271,3,7,72.2,Potential Loyalists
KH3272,192,4,16.65,Big Spenders
KH3273,95,9,81.4,Potential Loyalists
KH3275,65,8,109.0,Potential Loyalists
KH3276,183,15,151.8,Big Spenders
KH3277,425,7,68.6,Churned Customers
KH3278,396,4,38.2,Churned Customers
KH3279,399,7,55.69,Churned Customers
KH3280,170,6,77.8,Big Spenders
KH3281,66,6,103.7,Potential Loyalists
KH3282,191,11,86.83,Big Spenders
KH3283,181,9,46.4,Big Spenders
KH3284,41,16,130.2,Loyal Customers
KH3285,171,7,69.3,Big Spenders
KH3286,7,4,21.6,Potential Loyalists
KH3287,331,13,150.45,Churned Customers
KH3288,248,6,25.4,Big Spenders
KH3289,4,29,334.15,Loyal Customers
KH3290,215,2,10.9,Big Spenders
KH3291,150,4,39.9,Big Spenders
KH3292,108,6,136.2,Loyal Customers
KH3293,235,7,25.3,Big Spenders
KH3294,180,13,127.05,Big Spenders
KH3295,155,10,85.63,Big Spenders
KH3296,135,14,119.5,Big Spenders
KH3297,223,12,124.7,Big Spenders
KH3298,218,10,122.7,Big Spenders
KH3299,305,11,166.1,Churned Customers
KH3300,85,11,117.95,Potential Loyalists
KH3301,249,2,7.1,Big Spenders
KH3302,222,6,47.7,Big Spenders
KH3303,339,8,44.4,Churned Customers
KH3304,30,10,80.3,Potential Loyalists
KH3305,189,6,37.34,Big Spenders
KH3306,1,16,90.8,Potential Loyalists
KH3307,85,11,48.5,Potential Loyalists
KH3308,68,28,163.94,Loyal Customers
KH3309,63,16,71.67,Potential Loyalists
KH3310,230,11,56.55,Big Spenders
KH3311,182,8,84.66,Big Spenders
KH3312,6,9,95.05,Potential Loyalists
KH3313,266,6,29.4,Big Spenders
KH3314,504,2,21.6,One-time Shoppers
KH3315,41,13,90.5,Potential Loyalists
KH3316,357,7,62.16,Churned Customers
KH3317,184,7,33.71,Big Spenders
KH3318,162,4,43.8,Big Spenders
KH3319,43,5,34.0,Potential Loyalists
KH3320,627,6,73.4,One-time Shoppers
KH3321,5,14,91.8,Potential Loyalists
KH3322,80,16,149.8,Loyal Customers
KH3323,21,11,96.36,Potential Loyalists
KH3324,128,11,64.5,Big Spenders
KH3325,31,13,132.62,Loyal Customers
KH3326,244,4,31.5,Big Spenders
KH3327,240,14,78.53,Big Spenders
KH3328,76,11,120.12,Potential Loyalists
KH3329,312,13,112.6,Churned Customers
KH3330,157,5,54.0,Big Spenders
KH3331,158,8,43.24,Big Spenders
KH3332,333,5,33.55,Churned Customers
KH3333,311,4,11.6,Churned Customers
KH3334,241,9,91.0,Big Spenders
KH3335,481,4,37.5,One-time Shoppers
KH3336,279,2,22.2,Churned Customers
KH3337,203,16,141.86,Big Spenders
KH3338,135,9,69.1,Big Spenders
KH3339,22,9,74.0,Potential Loyalists
KH3341,15,5,43.52,Potential Loyalists
KH3342,191,8,104.5,Big Spenders
KH3343,234,10,94.44,Big Spenders
KH3344,273,12,45.2,Churned Customers
KH3345,91,2,5.2,Potential Loyalists
KH3346,233,6,169.7,Big Spenders
KH3347,208,14,135.8,Big Spenders
KH3348,25,14,108.65,Potential Loyalists
KH3349,536,8,97.8,One-time Shoppers
KH3350,586,4,11.9,One-time Shoppers
KH3351,77,6,45.2,Potential Loyalists
KH3352,52,7,38.2,Potential Loyalists
KH3353,138,19,113.35,Big Spenders
KH3354,31,15,127.6,Loyal Customers
KH3355,28,6,103.8,Potential Loyalists
KH3356,221,16,117.3,Big Spenders
KH3357,205,9,81.7,Big Spenders
KH3358,276,18,165.9,Big Spenders
KH3359,523,5,41.82,One-time Shoppers
KH3360,46,11,123.4,Potential Loyalists
KH3361,161,22,240.5,Loyal Customers
KH3362,578,2,4.6,One-time Shoppers
KH3363,1,13,84.5,Potential Loyalists
KH3364,107,12,110.4,Potential Loyalists
KH3365,66,15,86.75,Potential Loyalists
KH3366,376,4,28.1,Churned Customers
KH3367,671,2,32.8,One-time Shoppers
KH3368,296,6,76.65,Churned Customers
KH3369,1,15,161.84,Loyal Customers
KH3370,48,11,112.1,Potential Loyalists
KH3372,673,2,23.8,One-time Shoppers
KH3373,6,4,8.8,Potential Loyalists
KH3374,125,5,64.2,Big Spenders
KH3375,248,7,81.5,Big Spenders
KH3376,722,3,10.3,One-time Shoppers
KH3377,488,2,14.4,One-time Shoppers
KH3378,351,9,52.2,Churned Customers
KH3379,343,5,61.3,Churned Customers
KH3380,49,18,174.3,Loyal Customers
KH3381,390,4,45.5,Churned Customers
KH3382,412,10,59.75,Churned Customers
KH3383,412,6,23.1,Churned Customers
KH3384,31,10,71.35,Potential Loyalists
KH3385,185,11,78.33,Big Spenders
KH3386,330,8,27.4,Churned Customers
KH3387,234,7,52.12,Big Spenders
KH3389,135,13,148.4,Loyal Customers
KH3390,29,11,108.04,Potential Loyalists
KH3391,9,2,28.0,Potential Loyalists
KH3393,53,20,151.14,Loyal Customers
KH3394,17,7,64.66,Potential Loyalists
KH3395,133,4,17.9,Big Spenders
KH3396,230,13,116.8,Big Spenders
KH3397,313,6,48.9,Churned Customers
KH3398,294,11,154.3,Churned Customers
KH3399,164,15,69.26,Big Spenders
KH3400,301,12,72.2,Churned Customers
KH3401,93,10,53.4,Potential Loyalists
KH3402,136,21,181.52,Loyal Customers
KH3403,623,7,35.92,One-time Shoppers
KH3404,23,4,27.94,Potential Loyalists
KH3405,261,18,188.1,Big Spenders
KH3406,68,6,51.2,Potential Loyalists
KH3407,280,9,75.5,Churned Customers
KH3408,55,6,16.7,Potential Loyalists
KH3409,19,13,102.2,Potential Loyalists
KH3410,62,14,142.24,Loyal Customers
KH3411,194,8,52.3,Big Spenders
KH3412,338,4,7.8,Churned Customers
KH3413,98,10,50.1,Potential Loyalists
KH3414,68,13,135.0,Loyal Customers
KH3415,217,6,59.0,Big Spenders
KH3416,45,14,203.8,Loyal Customers
KH3417,15,8,34.3,Potential Loyalists
KH3418,292,4,12.4,Churned Customers
KH3419,25,10,81.55,Potential Loyalists
KH3420,306,6,60.7,Churned Customers
KH3421,232,11,102.75,Big Spenders
KH3422,521,2,9.8,One-time Shoppers
KH3423,211,8,44.2,Big Spenders
KH3424,136,11,61.54,Big Spenders
KH3425,380,6,32.3,Churned Customers
KH3426,66,8,50.8,Potential Loyalists
KH3427,246,9,136.7,Big Spenders
KH3428,289,8,71.0,Churned Customers
KH3429,184,18,171.52,Big Spenders
KH3430,258,16,86.8,Big Spenders
KH3431,517,2,6.6,One-time Shoppers
KH3432,270,4,24.5,Churned Customers
KH3433,90,7,94.9,Potential Loyalists
KH3434,203,5,23.52,Big Spenders
KH3435,417,10,114.6,Churned Customers
KH3436,278,2,11.4,Churned Customers
KH3437,331,14,167.22,Churned Customers
KH3438,3,16,147.35,Loyal Customers
KH3439,127,11,74.9,Big Spenders
KH3440,9,6,63.9,Potential Loyalists
KH3441,262,6,38.3,Big Spenders
KH3442,46,13,176.3,Loyal Customers
KH3443,68,8,86.9,Potential Loyalists
KH3444,631,8,117.06,One-time Shoppers
KH3445,90,6,46.7,Potential Loyalists
KH3447,33,13,78.0,Potential Loyalists
KH3448,460,2,28.2,One-time Shoppers
KH3449,31,8,32.0,Potential Loyalists
KH3450,6,17,131.56,Loyal Customers
KH3451,121,8,27.0,Potential Loyalists
KH3452,59,8,60.0,Potential Loyalists
KH3453,14,4,12.1,Potential Loyalists
KH3454,13,2,11.8,Potential Loyalists
KH3455,42,8,45.7,Potential Loyalists
KH3456,111,13,81.5,Potential Loyalists
KH3457,416,6,64.43,Churned Customers
KH3458,139,10,43.9,Big Spenders
KH3459,147,9,68.4,Big Spenders
KH3460,36,16,123.5,Potential Loyalists
KH3461,187,6,34.3,Big Spenders
KH3462,45,25,191.48,Loyal Customers
KH3463,97,8,61.74,Potential Loyalists
KH3464,548,4,40.2,One-time Shoppers
KH3465,59,22,223.34,Loyal Customers
KH3466,386,7,20.7,Churned Customers
KH3467,6,13,177.76,Loyal Customers
KH3468,46,11,82.2,Potential Loyalists
KH3469,224,16,137.0,Big Spenders
KH3470,87,9,102.14,Potential Loyalists
KH3471,79,10,90.9,Potential Loyalists
KH3472,244,12,148.8,Big Spenders
KH3473,267,6,53.72,Big Spenders
KH3474,127,16,167.4,Loyal Customers
KH3475,16,10,33.7,Potential Loyalists
KH3476,185,15,117.68,Big Spenders
KH3477,531,3,35.9,One-time Shoppers
KH3478,272,2,5.8,Churned Customers
KH3479,281,8,81.2,Churned Customers
KH3480,237,12,68.8,Big Spenders
KH3481,87,16,138.4,Loyal Customers
KH3482,518,7,15.8,One-time Shoppers
KH3483,38,15,177.66,Loyal Customers
KH3484,39,23,207.32,Loyal Customers
KH3485,161,6,63.8,Big Spenders
KH3486,7,12,74.4,Potential Loyalists
KH3487,431,12,45.5,Churned Customers
KH3488,9,7,116.65,Potential Loyalists
KH3489,42,15,135.6,Loyal Customers
KH3490,174,2,4.4,Big Spenders
KH3491,65,14,113.8,Potential Loyalists
KH3493,331,8,51.1,Churned Customers
KH3494,179,7,28.45,Big Spenders
KH3495,42,22,217.85,Loyal Customers
KH3496,99,10,50.9,Potential Loyalists
KH3497,36,23,131.0,Loyal Customers
KH3498,274,8,137.5,Big Spenders
KH3499,240,18,196.03,Big Spenders
KH3500,162,17,128.95,Big Spenders
KH3501,156,4,16.6,Big Spenders
KH3502,477,11,45.52,One-time Shoppers
KH3503,31,2,4.1,Potential Loyalists
KH3504,55,19,127.08,Loyal Customers
KH3505,80,15,143.2,Loyal Customers
KH3507,50,18,144.4,Loyal Customers
KH3508,137,17,144.61,Loyal Customers
KH3509,175,14,156.6,Big Spenders
KH3510,362,2,7.3,Churned Customers
KH3511,45,14,147.94,Loyal Customers
KH3512,43,4,45.7,Potential Loyalists
KH3513,123,7,52.5,Potential Loyalists
KH3514,382,4,40.0,Churned Customers
KH3515,180,12,59.8,Big Spenders
KH3516,17,7,64.7,Potential Loyalists
KH3517,19,22,158.74,Loyal Customers
KH3518,65,16,146.35,Loyal Customers
KH3519,17,13,76.2,Potential Loyalists
KH3520,51,11,64.67,Potential Loyalists
KH3521,166,8,32.9,Big Spenders
KH3522,98,10,134.2,Loyal Customers
KH3523,51,16,119.15,Potential Loyalists
KH3524,395,12,89.55,Churned Customers
KH3525,319,9,54.7,Churned Customers
KH3526,126,10,138.63,Loyal Customers
KH3527,92,12,92.62,Potential Loyalists
KH3528,134,12,51.55,Big Spenders
KH3529,108,15,98.35,Potential Loyalists
KH3530,560,6,85.14,One-time Shoppers
KH3531,123,17,223.5,Loyal Customers
KH3532,218,6,42.3,Big Spenders
KH3533,495,2,39.3,One-time Shoppers
KH3534,49,6,64.3,Potential Loyalists
KH3535,120,15,221.5,Loyal Customers
KH3536,635,3,20.1,One-time Shoppers
KH3537,97,13,104.4,Potential Loyalists
KH3538,304,6,21.3,Churned Customers
KH3539,340,14,124.0,Churned Customers
KH3540,300,7,22.4,Churned Customers
KH3541,652,4,44.9,One-time Shoppers
KH3542,172,4,28.9,Big Spenders
KH3543,80,22,244.34,Loyal Customers
KH3544,270,10,82.1,Big Spenders
KH3545,30,11,150.4,Loyal Customers
KH3546,38,8,46.2,Potential Loyalists
KH3547,32,19,157.69,Loyal Customers
KH3548,202,15,98.41,Big Spenders
KH3549,151,20,121.6,Big Spenders
KH3550,377,8,30.6,Churned Customers
KH3551,159,9,60.7,Big Spenders
KH3552,119,13,113.16,Potential Loyalists
KH3553,212,6,37.05,Big Spenders
KH3554,160,8,54.7,Big Spenders
KH3555,442,3,21.2,Churned Customers
KH3556,91,10,89.66,Potential Loyalists
KH3557,163,11,131.63,Big Spenders
KH3558,102,17,148.0,Loyal Customers
KH3559,181,12,84.92,Big Spenders
KH3560,92,17,155.6,Loyal Customers
KH3561,367,8,37.9,Churned Customers
KH3562,0,18,204.76,Loyal Customers
KH3563,35,8,47.3,Potential Loyalists
KH3564,179,8,40.3,Big Spenders
KH3565,624,3,31.54,One-time Shoppers
KH3566,16,4,18.6,Potential Loyalists
KH3567,87,5,63.5,Potential Loyalists
KH3568,74,8,22.85,Potential Loyalists
KH3569,419,6,27.8,Churned Customers
KH3570,119,11,74.7,Potential Loyalists
KH3571,19,14,140.2,Loyal Customers
KH3572,174,4,100.4,Big Spenders
KH3573,271,9,112.4,Big Spenders
KH3574,55,14,83.9,Potential Loyalists
KH3575,236,11,70.96,Big Spenders
KH3576,594,2,10.0,One-time Shoppers
KH3577,232,7,53.3,Big Spenders
KH3578,228,6,36.96,Big Spenders
KH3579,0,13,174.6,Loyal Customers
KH3580,36,4,17.2,Potential Loyalists
KH3581,5,20,176.2,Loyal Customers
KH3582,196,19,146.61,Big Spenders
KH3583,27,15,106.2,Potential Loyalists
KH3584,13,14,183.1,Loyal Customers
KH3585,162,4,50.4,Big Spenders
KH3586,220,8,89.2,Big Spenders
KH3587,147,11,73.62,Big Spenders
KH3588,15,13,110.7,Potential Loyalists
KH3589,56,13,80.0,Potential Loyalists
KH3590,214,14,86.54,Big Spenders
KH3591,119,8,98.65,Potential Loyalists
KH3592,16,14,83.86,Potential Loyalists
KH3593,57,23,268.8,Loyal Customers
KH3594,110,4,56.8,Potential Loyalists
KH3595,13,17,100.1,Potential Loyalists
KH3596,254,12,86.5,Big Spenders
KH3597,17,6,120.3,Potential Loyalists
KH3598,259,4,18.5,Big Spenders
KH3599,39,11,84.85,Potential Loyalists
KH3600,34,15,119.92,Potential Loyalists
KH3601,10,8,50.5,Potential Loyalists
KH3602,429,5,24.5,Churned Customers
KH3603,334,12,152.04,Churned Customers
KH3604,226,15,119.0,Big Spenders
KH3605,269,3,14.5,Churned Customers
KH3606,414,2,18.9,Churned Customers
KH3607,676,2,11.2,One-time Shoppers
KH3608,33,14,158.66,Loyal Customers
KH3609,18,10,81.3,Potential Loyalists
KH3610,470,4,10.6,One-time Shoppers
KH3611,320,7,49.15,Churned Customers
KH3612,94,14,65.44,Potential Loyalists
KH3613,86,12,125.24,Loyal Customers
KH3614,246,10,88.1,Big Spenders
KH3615,119,10,68.9,Potential Loyalists
KH3616,420,7,60.9,Churned Customers
KH3617,257,11,133.9,Big Spenders
KH3618,449,4,48.1,Churned Customers
KH3619,267,10,83.4,Big Spenders
KH3620,195,15,116.0,Big Spenders
KH3621,58,18,149.45,Loyal Customers
KH3622,2,10,48.4,Potential Loyalists
KH3623,237,4,69.6,Big Spenders
KH3624,597,2,14.4,One-time Shoppers
KH3625,439,2,3.4,Churned Customers
KH3626,567,4,19.8,One-time Shoppers
KH3627,542,4,83.3,One-time Shoppers
KH3628,516,6,36.16,One-time Shoppers
KH3629,261,13,170.5,Big Spenders
KH3630,159,4,46.8,Big Spenders
KH3631,474,2,6.8,One-time Shoppers
KH3632,451,4,25.0,Churned Customers
KH3633,1,16,184.44,Loyal Customers
KH3634,20,5,16.6,Potential Loyalists
KH3635,17,21,228.33,Loyal Customers
KH3636,230,8,28.9,Big Spenders
KH3637,8,13,115.3,Potential Loyalists
KH3638,207,4,35.0,Big Spenders
KH3639,396,9,85.4,Churned Customers
KH3640,83,8,69.65,Potential Loyalists
KH3641,3,6,32.3,Potential Loyalists
KH3642,309,12,161.45,Churned Customers
KH3643,101,15,96.59,Potential Loyalists
KH3644,89,7,73.0,Potential Loyalists
KH3645,18,11,73.5,Potential Loyalists
KH3646,144,9,90.4,Big Spenders
KH3647,302,5,72.2,Churned Customers
KH3648,211,3,46.0,Big Spenders
KH3649,192,17,177.2,Big Spenders
KH3650,166,6,66.9,Big Spenders
KH3651,75,21,213.56,Loyal Customers
KH3652,103,4,15.7,Potential Loyalists
KH3653,51,11,112.8,Potential Loyalists
KH3654,14,5,19.8,Potential Loyalists
KH3655,317,5,124.6,Churned Customers
KH3656,294,9,110.15,Churned Customers
KH3657,92,20,253.55,Loyal Customers
KH3658,95,9,77.9,Potential Loyalists
KH3659,192,8,35.96,Big Spenders
KH3660,442,10,77.2,Churned Customers
KH3661,33,12,91.74,Potential Loyalists
KH3662,27,8,51.0,Potential Loyalists
KH3663,40,19,158.5,Loyal Customers
KH3664,214,8,67.9,Big Spenders
KH3665,98,8,73.96,Potential Loyalists
KH3666,262,12,62.6,Big Spenders
KH3667,382,9,53.6,Churned Customers
KH3668,12,13,87.8,Potential Loyalists
KH3669,323,12,108.48,Churned Customers
KH3670,378,9,137.55,Churned Customers
KH3671,80,10,75.86,Potential Loyalists
KH3672,216,13,92.2,Big Spenders
KH3673,125,8,76.95,Big Spenders
KH3674,139,11,50.34,Big Spenders
KH3675,149,11,109.5,Big Spenders
KH3676,67,6,50.49,Potential Loyalists
KH3677,30,13,137.15,Loyal Customers
KH3678,541,6,71.2,One-time Shoppers
KH3679,7,21,132.39,Loyal Customers
KH3680,36,9,86.12,Potential Loyalists
KH3681,77,10,85.1,Potential Loyalists
KH3682,79,19,158.98,Loyal Customers
KH3683,25,14,123.12,Potential Loyalists
KH3684,139,13,161.3,Loyal Customers
KH3685,126,10,128.95,Loyal Customers
KH3686,123,9,90.4,Big Spenders
KH3687,8,19,136.09,Loyal Customers
KH3688,68,15,143.66,Loyal Customers
KH3689,154,10,120.1,Big Spenders
KH3690,223,12,62.4,Big Spenders
KH3691,128,23,227.36,Loyal Customers
KH3692,73,12,149.1,Loyal Customers
KH3693,44,8,96.5,Potential Loyalists
KH3694,13,11,50.1,Potential Loyalists
KH3695,174,8,33.4,Big Spenders
KH3696,423,5,55.1,Churned Customers
KH3697,88,11,57.93,Potential Loyalists
KH3698,122,11,67.45,Potential Loyalists
KH3699,18,9,119.8,Potential Loyalists
KH3700,255,3,8.4,Big Spenders
KH3701,247,12,147.68,Big Spenders
KH3703,197,12,83.5,Big Spenders
KH3704,93,12,82.1,Potential Loyalists
KH3705,114,11,62.8,Potential Loyalists
KH3706,408,2,15.3,Churned Customers
KH3707,187,4,27.75,Big Spenders
KH3708,118,7,25.2,Potential Loyalists
KH3709,65,21,191.84,Loyal Customers
KH3710,130,8,31.3,Big Spenders
KH3711,175,4,26.85,Big Spenders
KH3712,10,8,38.82,Potential Loyalists
KH3713,333,8,93.6,Churned Customers
KH3714,571,4,7.65,One-time Shoppers
KH3715,233,7,18.7,Big Spenders
KH3716,50,9,70.4,Potential Loyalists
KH3717,214,10,70.1,Big Spenders
KH3718,73,18,140.4,Loyal Customers
KH3719,13,19,113.1,Potential Loyalists
KH3720,216,8,33.9,Big Spenders
KH3721,179,10,104.02,Big Spenders
KH3722,516,6,28.2,One-time Shoppers
KH3723,291,2,3.9,Churned Customers
KH3724,19,6,76.8,Potential Loyalists
KH3725,466,4,33.9,One-time Shoppers
KH3726,218,6,49.5,Big Spenders
KH3727,225,13,143.8,Big Spenders
KH3728,48,13,102.35,Potential Loyalists
KH3729,31,8,49.94,Potential Loyalists
KH3730,156,8,71.25,Big Spenders
KH3731,423,9,60.22,Churned Customers
KH3732,24,21,209.02,Loyal Customers
KH3733,512,4,12.0,One-time Shoppers
KH3734,116,5,21.0,Potential Loyalists
KH3735,32,9,80.7,Potential Loyalists
KH3736,33,12,72.1,Potential Loyalists
KH3737,18,33,229.58,Loyal Customers
KH3738,0,10,35.2,Potential Loyalists
KH3739,146,7,25.6,Big Spenders
